Type,Key,Default,Translation,Character Limit
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[0],Popcorn,Pipoca,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[1],Candy,Doces,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[2],Salad,Salada,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[1].question.answers[3],Nothing,Nada,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[2].title,Who do you watch movies with?,Com quem você assiste a filmes?,38
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[2].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[2].question.answers[0],Friends,Amigos,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[2].question.answers[1],Parents,Família,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[2].question.answers[2],Myself,Sozinho(a),22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[2].question.answers[3],Siblings,Irmãos(ãs),22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[3].title,Is it a good movie if you cry?,"Se você chorar, o filme é bom?",38
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[3].description,Complete the poll to earn ${amount} Kin,Responda e ganhe ${amount} Kin,24
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[3].question.answers[0],Absolutely!,Com certeza!,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[3].question.answers[1],Probably,Provavelmente,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[3].question.answers[2],Maybe,Talvez,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[3].question.answers[3],No,Não,22
poll,offer_contents:O8ouvUge0p0btS7FgoAkd:content:pages[4].description,${amount},${amount},24
quiz,offer:OLKZXp703xl2YMKDlQwkB:title,Take a quiz,Faça um teste,14
quiz,offer:OLKZXp703xl2YMKDlQwkB:description,Wyoming,Wyoming,18
quiz,offer:OLKZXp703xl2YMKDlQwkB:orderTitle,Quiz,Teste,8
quiz,offer:OLKZXp703xl2YMKDlQwkB:orderDescription,Completed,Concluído,24
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[0].description,Wyoming's official state animal is the...,O animal oficial do estado de Wyoming é...,66
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[0].question.answers[0],Dairy cow,Vaca leiteira,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[0].question.answers[1],Bronco,Cavalo,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[0].question.answers[2],Bison,Bisão,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[0].question.answers[3],Jackalope,Jackalope,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[1].description,Yellowstone was designated as the first National Park in...,Yellowstone foi designado como o primeiro parque nacional em...,66
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[1].question.answers[0],1801,1801,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[1].question.answers[1],1872,1872,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[1].question.answers[2],1905,1905,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[1].question.answers[3],1923,1923,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[2].description,What major department store chain started in the city of Kemmerer?,Qual grande loja de departamento começou na cidade de Kemmerer?,66
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[2].question.answers[0],JCPenney,JCPenney,22
quiz,offer_contents:OLKZXp703xl2YMKDlQwkB:content:pages[2].question.answers[1],Sears,Sears,22
